id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
5711800f2c5f3,objTwoColors,#80FF00,184,55,121,3,0.32,0.05,0.26,0.1,0.11,0.14,0.09,0.09,0.06,0.08,0.09,0.27,0.64,0.65
571183866d73f,objTwoColors,#80FF00,217,55,137,5,0.51,0.04,0.32,0.15,0.19,0.23,0.28,0.28,0.17,0.27,0.28,0.07,0.74,0.75
57119224388ef,objTwoColors,#80FF00,57,276,204,5,0.59,0.37,0.34,0.16,0.26,0.25,0.67,0.68,0.77,0.68,0.68,0.96,0.54,0.55
5711ace2ee7ed,objTwoColors,#80FF00,57,184,106,4,0.42,0.05,0.26,0.11,0.11,0.14,0.5,0.51,0.62,0.51,0.51,0.79,0.34,0.35
5711cbde51bb0,objTwoColors,#80FF00,64,214,372,4,0.56,0.05,0.31,0.16,0.17,0.21,0.67,0.67,0.77,0.68,0.67,0.96,0.55,0.55
571210e10d88b,objTwoColors,#80FF00,138,53,873,4,0.07,0.02,0.29,0.05,0.03,0.03,0.23,0.22,0.32,0.21,0.22,0.54,0.65,0.65
571214121717c,objTwoColors,#80FF00,187,58,95,5,0.32,0.04,0.26,0.11,0.11,0.14,0.09,0.1,0.06,0.09,0.1,0.24,0.65,0.65
5712197fbccd5,objTwoColors,#80FF00,0,67,118,4,0.44,0.24,0.31,0.15,0.22,0.17,0.42,0.42,0.49,0.43,0.42,0.58,0.21,0.22
57121e2a63601,objTwoColors,#80FF00,300,147,30,1,0.57,0.51,0.33,0.19,0.32,0.25,0.36,0.37,0.33,0.38,0.37,0.33,0.52,0.53
57122801e1da9,objTwoColors,#80FF00,53,206,126,3,0.56,0.04,0.29,0.14,0.16,0.2,0.63,0.63,0.73,0.64,0.63,0.91,0.45,0.46
57123bec83e8e,objTwoColors,#80FF00,329,329,2,4,0.64,0.36,0.33,0.28,0.35,0.33,0.53,0.54,0.53,0.53,0.54,0.64,0.44,0.44
57123e4050550,objTwoColors,#80FF00,199,58,109,4,0.4,0.04,0.28,0.13,0.14,0.17,0.17,0.17,0.08,0.17,0.17,0.17,0.68,0.69
571243bcc8142,objTwoColors,#80FF00,57,122,257,5,0.29,0,0.29,0.04,0.01,0.01,0.37,0.38,0.51,0.39,0.38,0.66,0.51,0.52
571245dfd5f63,objTwoColors,#80FF00,97,0,143,4,0.28,0.16,0.33,0.12,0.12,0.12,0.51,0.51,0.59,0.49,0.51,0.82,0.8,0.8
571247f66fb51,objTwoColors,#80FF00,143,62,683,5,0.07,0.03,0.28,0.07,0.03,0.03,0.19,0.2,0.32,0.21,0.2,0.5,0.63,0.63
571252e6d2e70,objTwoColors,#80FF00,57,180,221,5,0.4,0.05,0.26,0.1,0.1,0.13,0.48,0.49,0.6,0.5,0.49,0.77,0.32,0.33
571260c120253,objTwoColors,#80FF00,187,44,95,3,0.38,0.04,0.26,0.11,0.13,0.16,0.15,0.16,0.07,0.14,0.16,0.3,0.68,0.67
57127bcfaafb0,objTwoColors,#80FF00,55,188,111,4,0.45,0.05,0.26,0.11,0.12,0.15,0.52,0.53,0.64,0.53,0.53,0.81,0.35,0.36
571290e28820b,objTwoColors,#80FF00,50,196,80,5,0.52,0.04,0.27,0.12,0.14,0.18,0.58,0.59,0.68,0.59,0.59,0.86,0.38,0.38
5712bd55a8a13,objTwoColors,#80FF00,91,0,150,3,0.3,0.17,0.32,0.13,0.16,0.13,0.5,0.5,0.58,0.48,0.5,0.82,0.78,0.79
5712c2b021f58,objTwoColors,#80FF00,182,58,147,5,0.29,0.05,0.26,0.1,0.1,0.13,0.07,0.07,0.08,0.07,0.07,0.27,0.64,0.65
5712c57f97f25,objTwoColors,#80FF00,115,65,159,4,0.04,0,0.3,0.05,0.01,0.02,0.26,0.27,0.4,0.28,0.27,0.57,0.65,0.65
5712d9bc0cae3,objTwoColors,#80FF00,107,94,545,5,0.13,0.03,0.31,0.07,0.04,0.07,0.35,0.36,0.49,0.37,0.36,0.67,0.66,0.65
5713923c1bbc7,objTwoColors,#80FF00,172,204,217,2,0.62,0.31,0.27,0.25,0.3,0.32,0.4,0.42,0.51,0.41,0.42,0.71,0.6,0.6
5713b10383207,objTwoColors,#80FF00,211,58,98,4,0.47,0.04,0.3,0.15,0.17,0.21,0.24,0.24,0.15,0.24,0.24,0.09,0.72,0.73
5713dd915ca28,objTwoColors,#80FF00,190,57,207,2,0.34,0.04,0.27,0.11,0.12,0.15,0.11,0.11,0.03,0.11,0.11,0.22,0.65,0.66
5713fc80c942a,objTwoColors,#80FF00,63,179,270,5,0.38,0.05,0.26,0.11,0.1,0.12,0.48,0.48,0.58,0.49,0.48,0.77,0.33,0.34
57153eb9b4bed,objTwoColors,#80FF00,0,102,102,3,0.55,0.14,0.33,0.12,0.09,0.11,0.53,0.53,0.6,0.54,0.53,0.69,0.23,0.24
5715ea836193d,objTwoColors,#80FF00,189,58,363,1,0.33,0.04,0.27,0.11,0.11,0.15,0.11,0.11,0.05,0.11,0.11,0.23,0.65,0.66
5716e9900f6ea,objTwoColors,#80FF00,58,188,143,4,0.44,0.04,0.26,0.11,0.11,0.15,0.52,0.53,0.63,0.53,0.53,0.81,0.36,0.37
57190633f233f,objTwoColors,#80FF00,62,200,328,4,0.49,0.04,0.28,0.14,0.14,0.17,0.59,0.59,0.69,0.6,0.59,0.88,0.45,0.46
5734779e28d4b,objTwoColors,#80FF00,88,89,235,4,0.14,0,0.3,0.07,0.02,0.04,0.33,0.33,0.47,0.34,0.33,0.64,0.6,0.61
5734918f46823,objTwoColors,#80FF00,54,197,115,2,0.5,0.04,0.27,0.13,0.14,0.17,0.58,0.58,0.68,0.59,0.58,0.86,0.4,0.41
5735d3455a84c,objTwoColors,#80FF00,50,212,217,3,0.61,0.04,0.31,0.14,0.19,0.22,0.67,0.68,0.77,0.68,0.68,0.95,0.48,0.48
5736048bb110b,objTwoColors,#80FF00,98,115,131,5,0.15,0.04,0.31,0.08,0.04,0.07,0.38,0.39,0.52,0.4,0.39,0.69,0.65,0.66
573634984323e,objTwoColors,#80FF00,57,114,247,4,0.29,0.01,0.29,0.04,0.01,0.01,0.37,0.38,0.5,0.39,0.38,0.66,0.51,0.52
57366c199283c,objTwoColors,#80FF00,48,184,92,3,0.46,0.04,0.26,0.1,0.12,0.15,0.52,0.52,0.62,0.53,0.52,0.79,0.3,0.3
5738cf3d97a58,objTwoColors,#80FF00,142,77,383,3,0.12,0.04,0.29,0.08,0.04,0.05,0.25,0.25,0.39,0.26,0.25,0.57,0.63,0.63
57410611290e3,objTwoColors,#80FF00,55,186,74,5,0.44,0.05,0.26,0.1,0.11,0.14,0.51,0.52,0.63,0.52,0.52,0.8,0.34,0.35
57427cf6bad0c,objTwoColors,#80FF00,173,56,198,3,0.24,0.04,0.26,0.1,0.1,0.11,0.02,0.03,0.12,0.02,0.03,0.32,0.63,0.63
574297edae49c,objTwoColors,#80FF00,139,62,299,3,0.05,0.03,0.29,0.06,0.03,0.03,0.21,0.21,0.34,0.23,0.21,0.52,0.64,0.64
574511e99b6d9,objTwoColors,#80FF00,59,190,144,4,0.44,0.04,0.27,0.12,0.12,0.15,0.53,0.54,0.64,0.54,0.54,0.82,0.38,0.38
57451c3b38192,objTwoColors,#80FF00,0,89,105,4,0.52,0.18,0.32,0.13,0.16,0.13,0.5,0.5,0.57,0.51,0.5,0.66,0.22,0.23
5745350dc1e22,objTwoColors,#80FF00,181,57,178,4,0.29,0.05,0.26,0.1,0.1,0.13,0.06,0.06,0.08,0.06,0.06,0.28,0.64,0.64
5745500f6e643,objTwoColors,#80FF00,89,52,454,2,0.06,0.07,0.29,0.05,0.04,0.03,0.25,0.25,0.34,0.24,0.25,0.57,0.62,0.61
57459c393bbd0,objTwoColors,#80FF00,195,65,435,4,0.38,0.04,0.27,0.14,0.12,0.16,0.15,0.16,0.08,0.17,0.16,0.2,0.67,0.66
5745b5cbe3caa,objTwoColors,#80FF00,85,0,182,3,0.32,0.19,0.32,0.13,0.18,0.14,0.5,0.5,0.58,0.48,0.5,0.81,0.76,0.77
5745c1c07cc0c,objTwoColors,#80FF00,113,50,305,4,0.06,0.03,0.29,0.04,0.01,0.02,0.28,0.28,0.35,0.27,0.28,0.59,0.66,0.67
5745f6f039dc9,objTwoColors,#80FF00,0,0,0,4,0.69,0.39,0.35,0.29,0.37,0.35,0.67,0.67,0.68,0.65,0.67,0.83,0.39,0.4
