id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6,distance_pair7,distance_pair8
57110028bc74b,objTwoColors,#00FF80,0,141,516,2,0.6,0.11,0.31,0.19,0.11,0.15,0.19,0.2,0.55,0.57,0.57,0.58,0.57,0.69
571103343658b,objTwoColors,#00FF80,147,141,627,3,0.27,0.04,0.27,0.08,0,0.05,0.6,0.61,0.22,0.24,0.2,0.25,0.24,0.61
5711106ab212a,objTwoColors,#00FF80,0,124,143,4,0.64,0.13,0.32,0.2,0.12,0.16,0.23,0.24,0.56,0.58,0.58,0.59,0.58,0.7
5711148c11035,objTwoColors,#00FF80,175,56,264,3,0.47,0.11,0.23,0.12,0.05,0.06,0.63,0.64,0.26,0.27,0.2,0.27,0.27,0.31
5711149df2d2a,objTwoColors,#00FF80,179,122,314,4,0.51,0.02,0.26,0.06,0.03,0.03,0.65,0.66,0.42,0.44,0.39,0.45,0.44,0.43
57111f6c42412,objTwoColors,#00FF80,152,0,100,5,0.49,0.1,0.29,0.19,0.12,0.15,0.79,0.8,0.38,0.4,0.29,0.38,0.4,0.72
57112a657ac25,objTwoColors,#00FF80,147,0,600,3,0.47,0.1,0.3,0.19,0.12,0.15,0.8,0.81,0.36,0.37,0.27,0.35,0.37,0.75
57112b9e10661,objTwoColors,#00FF80,254,54,298,3,0.77,0.33,0.36,0.1,0.23,0.22,0.78,0.77,0.56,0.58,0.49,0.57,0.58,0.03
57112d8509632,objTwoColors,#00FF80,207,57,125,3,0.66,0.09,0.27,0.1,0.11,0.14,0.71,0.71,0.45,0.46,0.39,0.46,0.46,0.12
57112da850667,objTwoColors,#00FF80,0,145,224,1,0.58,0.1,0.3,0.19,0.12,0.15,0.17,0.18,0.55,0.57,0.56,0.58,0.57,0.69
57112da850667,objTwoColors,#00FF80,59,120,165,3,0.37,0.09,0.28,0.17,0.06,0.09,0.52,0.52,0.28,0.3,0.32,0.31,0.3,0.66
57112e1a2bbbb,objTwoColors,#00FF80,105,213,574,1,0.25,0.05,0.32,0.04,0.11,0.13,0.66,0.67,0.45,0.46,0.52,0.46,0.46,0.99
57112e639a100,objTwoColors,#00FF80,193,59,320,4,0.57,0.1,0.24,0.09,0.07,0.09,0.66,0.67,0.35,0.37,0.31,0.38,0.37,0.2
57112ebc85ba1,objTwoColors,#00FF80,187,52,143,5,0.54,0.11,0.23,0.12,0.07,0.09,0.66,0.65,0.34,0.35,0.26,0.34,0.35,0.26
57112f57403ee,objTwoColors,#00FF80,193,50,184,2,0.58,0.1,0.24,0.11,0.09,0.11,0.67,0.68,0.39,0.4,0.29,0.39,0.4,0.24
571130c5cd6e9,objTwoColors,#00FF80,59,208,106,5,0.34,0.08,0.28,0.09,0.1,0.14,0.49,0.49,0.55,0.56,0.55,0.56,0.56,0.93
571130d934bda,objTwoColors,#00FF80,143,0,148,5,0.45,0.1,0.31,0.19,0.12,0.15,0.8,0.81,0.34,0.35,0.27,0.33,0.35,0.77
5711348e42f02,objTwoColors,#00FF80,232,120,154,4,0.78,0.16,0.38,0.05,0.19,0.18,0.79,0.8,0.69,0.72,0.67,0.73,0.72,0.15
571137a34931a,objTwoColors,#00FF80,235,153,620,4,0.67,0.26,0.36,0.07,0.31,0.25,0.68,0.68,0.7,0.72,0.66,0.73,0.72,0.16
57113d4d93c81,objTwoColors,#00FF80,189,59,224,4,0.54,0.1,0.24,0.1,0.06,0.08,0.65,0.66,0.32,0.35,0.29,0.36,0.35,0.22
57113de4aed1a,objTwoColors,#00FF80,230,92,163,2,0.76,0.07,0.37,0.05,0.17,0.18,0.77,0.78,0.66,0.67,0.62,0.68,0.67,0.13
57113e3362c9f,objTwoColors,#00FF80,53,222,422,2,0.45,0.07,0.32,0.1,0.16,0.19,0.54,0.55,0.64,0.65,0.64,0.65,0.65,0.99
57113e6176346,objTwoColors,#00FF80,0,176,317,2,0.44,0.09,0.27,0.17,0.17,0.15,0.03,0.04,0.65,0.68,0.65,0.68,0.68,0.79
57114ca79a200,objTwoColors,#00FF80,59,346,216,4,0.49,0.31,0.28,0.23,0.26,0.22,0.64,0.63,0.4,0.4,0.37,0.39,0.4,0.78
57114d8a4c057,objTwoColors,#00FF80,140,98,223,4,0.27,0.11,0.28,0.11,0.05,0.08,0.65,0.65,0.17,0.19,0.19,0.2,0.19,0.64
571153ca15566,objTwoColors,#00FF80,168,57,64,3,0.42,0.1,0.23,0.13,0.04,0.05,0.62,0.63,0.21,0.23,0.16,0.23,0.23,0.35
571154184c9bd,objTwoColors,#00FF80,214,51,102,1,0.71,0.09,0.3,0.11,0.14,0.17,0.74,0.75,0.52,0.52,0.42,0.51,0.52,0.11
5711602ded5e3,objTwoColors,#00FF80,0,0,0,1,0.8,0.39,0.38,0.36,0.39,0.38,0.39,0.4,0.69,0.7,0.64,0.68,0.7,0.83
5711641931da5,objTwoColors,#00FF80,111,58,175,5,0.24,0.09,0.27,0.17,0.06,0.09,0.65,0.66,0.03,0.03,0.1,0.03,0.03,0.56
571165992a5c1,objTwoColors,#00FF80,185,149,200,3,0.44,0.1,0.24,0.04,0.1,0.1,0.56,0.57,0.45,0.47,0.42,0.47,0.47,0.39
57116b9b879bf,objTwoColors,#00FF80,85,129,335,3,0.27,0.1,0.29,0.12,0.06,0.09,0.6,0.61,0.19,0.2,0.24,0.21,0.2,0.68
5711703bd85fc,objTwoColors,#00FF80,215,63,281,3,0.7,0.06,0.3,0.09,0.12,0.15,0.73,0.73,0.49,0.51,0.47,0.52,0.51,0.07
5711800f2c5f3,objTwoColors,#00FF80,198,48,117,4,0.62,0.1,0.25,0.11,0.1,0.13,0.7,0.69,0.43,0.44,0.33,0.43,0.44,0.21
