"id","age","gender","num_answers","in_person","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#0000FF","NONE","hsl(277.17391304347825,1,0.50)",75,4,5,0,7
"57190633f233f","30","Male",32,"no","objTwoColors","#0000FF","hsl(179.3478260869565,1,0.50)","hsl(286.30434782608694,1,0.50)",423,21,3,0,7
"5711148c11035","35","Male",22,"no","objTwoColors","#FF0000","hsl(316.95652173913044,1,0.50)","hsl(58.69565217391305,1,0.50)",45,32,2,0,8
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#FF0000","hsl(341.7391304347826,1,0.50)","NONE",166,8,3,0,8
"574859b8f3379","30","Male",32,"yes","objTwoColors","#FF0000","hsl(1.3043478260869565,1,0.50)","NONE",552,144,1,0,8
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#FF0000","NONE","hsl(331.95652173913044,1,0.50)",621,33,4,0,8
"573607add000c","38","Male",5,"no","objTwoColors","#FF0000","hsl(2.608695652173913,1,0.50)","hsl(348.9130434782609,1,0.50)",304,17,5,0,8
"5711106ab212a","33","Male",32,"no","objTwoColors","#FF0000","hsl(35.21739130434783,1,0.50)","hsl(221.41304347826087,1,0.50)",85,13,1,0,8
"571153ca15566","32","Male",32,"no","objTwoColors","#FF0000","hsl(44.57201086956522,1,0.50)","NONE",397,80,1,0,8
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#FF0000","NONE","hsl(5.869565217391305,1,0.50)",83,5,1,0,8
"5740b686127bb","32","Male",32,"yes","objTwoColors","#FF0000","hsl(23.47826086956522,1,0.50)","hsl(11.086956521739129,1,0.50)",24,253,3,0,8
"573c783748e8b","37","Female",32,"yes","objTwoColors","#FF0000","hsl(2.608695652173913,1,0.50)","hsl(354.1304347826087,1,0.50)",474,29,3,0,8
"57190633f233f","30","Male",32,"no","objTwoColors","#FF0000","hsl(6.521739130434782,1,0.50)","NONE",109,12,1,0,8
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#FF0000","hsl(1.3043478260869565,1,0.50)","hsl(17.608695652173914,1,0.50)",103,22,3,0,8
"573a059da0efd","31","Female",32,"yes","objTwoColors","#FF0000","NONE","NONE",0,2,1,0,8
"571252e6d2e70","31","Female",32,"no","objTwoColors","#FF0000","hsl(22.173913043478258,1,0.50)","hsl(331.95652173913044,1,0.50)",1197,120,3,0,8
"5711106ab212a","33","Male",32,"no","objTwoColors","#00FF80","NONE","hsl(123.58695652173913,1,0.50)",143,11,4,0,9
"57190633f233f","30","Male",32,"no","objTwoColors","#00FF80","hsl(195,1,0.50)","hsl(64.8913043478261,1,0.50)",331,20,4,0,9
"573a059da0efd","31","Female",32,"yes","objTwoColors","#00FF9A","NONE","NONE",0,11,1,0,9
"57153eb9b4bed","35","Female",31,"no","objTwoColors","#00FF80","NONE","hsl(104.0217391304348,1,0.50)",870,59,3,0,9
"571153ca15566","32","Male",32,"no","objTwoColors","#00FF80","hsl(167.94497282608694,1,0.50)","hsl(56.535326086956516,1,0.50)",64,10,3,0,9
"57112e1a2bbbb","32","Male",16,"no","objTwoColors","#00FF80","hsl(105.2054562775985,1,0.50)","hsl(213.35218346637225,1,0.50)",574,43,1,0,9
"5711148c11035","35","Male",22,"no","objTwoColors","#00FF80","hsl(175.43478260869566,1,0.50)","hsl(56.08695652173913,1,0.50)",264,56,3,0,9
"571252e6d2e70","31","Female",32,"no","objTwoColors","#00FF80","hsl(101.08695652173913,1,0.50)","NONE",94,11,5,0,9
"574859b8f3379","30","Male",32,"yes","objTwoColors","#00FF9A","hsl(99.1304347826087,1,0.50)","hsl(186.19565217391306,1,0.50)",334,32,3,0,9
"5740a8b59d448","31","Female",32,"yes","objTwoColors","#00FF9A","hsl(136.30434782608697,1,0.50)","NONE",186,11,3,0,9
"5740b686127bb","32","Male",32,"yes","objTwoColors","#00FF9A","hsl(202.82608695652175,1,0.50)","hsl(88.36956521739131,1,0.50)",196,26,3,0,9
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#00FF80","NONE","hsl(271.95652173913044,1,0.50)",310,11,1,0,9
"5745b5cbe3caa","34","Female",32,"no","objTwoColors","#00FF80","hsl(185.21739130434784,1,0.50)","hsl(74.67391304347825,1,0.50)",357,30,4,0,9
"573c783748e8b","37","Female",32,"yes","objTwoColors","#00FF9A","hsl(23.47826086956522,1,0.50)","hsl(55.43478260869565,1,0.50)",580,53,3,0,9
"574859b8f3379","30","Male",32,"yes","objTwoColors","#0000FF","hsl(230.21739130434784,1,0.50)","NONE",60,10,1,0,10
"573c783748e8b","37","Female",32,"yes","objTwoColors","#0000FF","hsl(238.04347826086956,1,0.50)","hsl(225.32608695652175,1,0.50)",123,14,3,0,10
"571252e6d2e70","31","Female",32,"no","objTwoColors","#0080FF","hsl(232.17391304347825,1,0.50)","NONE",64,8,5,0,10
"5710d28fec2d1","30","Male",32,"no","objTwoColors","#0080FF","NONE","hsl(199.89130434782606,1,0.50)",328,16,1,0,10
"5727635041e99","38","Male",5,"no","objTwoColors","#0080FF","hsl(340.4347826086956,1,0.50)","hsl(141.19565217391306,1,0.50)",167,15,4,0,10
"57190633f233f","30","Male",32,"no","objTwoColors","#0080FF","hsl(260.8695652173913,1,0.50)","NONE",396,36,1,0,10
"5711148c11035","35","Male",22,"no","objTwoColors","#0080FF","hsl(180.65281080163044,1,0.50)","hsl(320.8695652173913,1,0.50)",188,58,3,0,10
