id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
5711348e42f02,objTwoColors,#FF00FF,7,218,276,4,0.06,0.07,0.06,0.05,0.06,0.06
571137a34931a,objTwoColors,#FF00FF,6,0,211,2,0.56,0.32,0.03,0.14,0.31,0.2
57113b9642c48,objTwoColors,#FF00FF,39,268,246,5,0.22,0.19,0.04,0.09,0.1,0.08
57113d4d93c81,objTwoColors,#FF00FF,292,0,82,4,0.95,0.13,0.06,0.04,0.15,0.02
57113de4aed1a,objTwoColors,#FF00FF,5,229,108,4,0.02,0.05,0.1,0.04,0.03,0.05
57113e6176346,objTwoColors,#FF00FF,0,332,212,3,0.41,0.28,0.02,0.1,0.26,0.14
57114ae35c9ec,objTwoColors,#FF00FF,0,300,518,3,0.19,0.17,0.05,0.06,0.17,0.04
57114ca79a200,objTwoColors,#FF00FF,230,348,124,4,1.07,0.09,0.1,0.04,0.07,0.09
57114f82eb4e8,objTwoColors,#FF00FF,222,349,536,3,1.05,0.11,0.07,0.04,0.06,0.08
571153ca15566,objTwoColors,#FF00FF,180,321,125,3,0.74,0.23,0.06,0.11,0.12,0.16
571154184c9bd,objTwoColors,#FF00FF,310,0,22,1,0.86,0.21,0.04,0.07,0.18,0.07
5711641931da5,objTwoColors,#FF00FF,326,182,819,2,0.45,0.22,0.06,0.11,0.12,0.16
571165992a5c1,objTwoColors,#FF00FF,334,273,259,3,0.19,0.02,0.07,0.06,0,0.12
57116b9b879bf,objTwoColors,#FF00FF,314,293,457,3,0.43,0.02,0.06,0.05,0.01,0.15
5711703bd85fc,objTwoColors,#FF00FF,224,331,211,3,0.94,0.15,0.07,0.09,0.11,0.16
5711800f2c5f3,objTwoColors,#FF00FF,282,181,329,3,0.72,0.23,0.01,0.18,0.15,0.23
571183866d73f,objTwoColors,#FF00FF,3,0,42,5,0.55,0.33,0.13,0.15,0.31,0.2
57119224388ef,objTwoColors,#FF00FF,46,256,158,5,0.23,0.17,0.04,0.12,0.1,0.1
5711ace2ee7ed,objTwoColors,#FF00FF,1,2,34,4,0.55,0.33,0.13,0.15,0.31,0.2
5711cbde51bb0,objTwoColors,#FF00FF,14,218,94,3,0.08,0.06,0.05,0.06,0.08,0.06
5711f4ec96b9c,objTwoColors,#FF00FF,305,300,323,1,0.53,0.03,0.06,0.05,0.01,0.15
571210e10d88b,objTwoColors,#FF00FF,305,0,159,5,0.89,0.19,0.05,0.06,0.17,0.05
571214121717c,objTwoColors,#FF00FF,20,188,523,1,0.29,0.42,0.06,0.12,0.21,0.15
57121540dbb98,objTwoColors,#FF00FF,300,300,301,5,0.55,0.04,0.24,0.05,0.01,0.17
5712197fbccd5,objTwoColors,#FF00FF,0,302,295,2,0.2,0.17,0.05,0.06,0.17,0.04
57121e2a63601,objTwoColors,#FF00FF,56,7,811,3,0.82,0.3,0.03,0.14,0.29,0.2
57122801e1da9,objTwoColors,#FF00FF,283,0,558,3,1,0.1,0.08,0.02,0.13,0.01
57122e814fb61,objTwoColors,#FF00FF,323,0,25,2,0.77,0.26,0.02,0.09,0.23,0.11
57123bec83e8e,objTwoColors,#FF00FF,177,354,394,2,0.95,0.19,0.05,0.1,0.17,0.16
57123e4050550,objTwoColors,#FF00FF,322,292,1187,2,0.37,0,0.05,0.04,0.01,0.12
571247f66fb51,objTwoColors,#FF00FF,8,242,162,5,0.02,0.01,0.12,0.04,0.03,0.05
571252e6d2e70,objTwoColors,#FF00FF,288,0,257,4,0.97,0.12,0.07,0.03,0.14,0.01
571260c120253,objTwoColors,#FF00FF,22,178,99,3,0.35,0.42,0.07,0.12,0.24,0.18
5712649f2fada,objTwoColors,#FF00FF,355,0,169,4,0.56,0.32,0.03,0.15,0.31,0.19
5712787a337a9,objTwoColors,#FF00FF,0,0,0,1,0.55,0.33,0.13,0.15,0.31,0.2
57127bcfaafb0,objTwoColors,#FF00FF,7,212,182,3,0.09,0.09,0.03,0.05,0.08,0.07
5712a254e00f7,objTwoColors,#FF00FF,0,325,78,3,0.35,0.26,0.02,0.09,0.24,0.12
5712a47f6f8a6,objTwoColors,#FF00FF,168,354,25,3,0.94,0.38,0.05,0.1,0.18,0.17
5712bd55a8a13,objTwoColors,#FF00FF,9,216,179,3,0.08,0.07,0.05,0.05,0.07,0.06
5712c2b021f58,objTwoColors,#FF00FF,178,0,64,4,0.96,0.4,0.05,0.1,0.18,0.16
5712c57f97f25,objTwoColors,#FF00FF,265,333,61,3,0.94,0.04,0.08,0.07,0.04,0.14
5713acb331c3c,objTwoColors,#FF00FF,244,357,145,1,1.11,0.04,0.13,0.03,0.04,0.06
5713b10383207,objTwoColors,#FF00FF,4,0,30,3,0.55,0.33,0.13,0.15,0.31,0.2
5713b961c216a,objTwoColors,#FF00FF,303,304,245,5,0.56,0.02,0.05,0.05,0.01,0.15
5713dd915ca28,objTwoColors,#FF00FF,7,234,363,3,0.01,0.04,0.12,0.04,0.03,0.05
5713fc80c942a,objTwoColors,#FF00FF,184,326,337,5,0.78,0.22,0.06,0.12,0.11,0.16
571534076a966,objTwoColors,#FF00FF,9,255,413,3,0.03,0.03,0.12,0.03,0.02,0.05
57153d9a56ce0,objTwoColors,#FF00FF,0,300,149,5,0.19,0.17,0.05,0.06,0.17,0.04
57153eb9b4bed,objTwoColors,#FF00FF,0,359,116,5,0.55,0.33,0.04,0.15,0.31,0.2
5715f69931d4c,objTwoColors,#FF00FF,7,205,877,1,0.13,0.11,0.01,0.07,0.1,0.09
5716e9900f6ea,objTwoColors,#FF00FF,12,235,217,3,0.04,0.02,0.11,0.04,0.03,0.05
57190633f233f,objTwoColors,#FF00FF,350,192,432,3,0.22,0.17,0.04,0.1,0.12,0.12
572106a31c230,objTwoColors,#FF00FF,191,33,389,3,0.95,0.43,0.07,0.14,0.23,0.17
57277ba3c5a5c,objTwoColors,#FF00FF,7,182,101,2,0.27,0.41,0.05,0.1,0.19,0.15
572a7874c1e2e,objTwoColors,#FF00FF,0,301,472,5,0.19,0.17,0.05,0.06,0.17,0.04
5734918f46823,objTwoColors,#FF00FF,15,207,148,3,0.15,0.08,0.01,0.08,0.12,0.09
5734e397122ce,objTwoColors,#FF00FF,300,300,2351,5,0.55,0.04,0.24,0.05,0.01,0.17
5735d3455a84c,objTwoColors,#FF00FF,0,284,87,3,0.11,0.1,0.08,0.03,0.13,0.01
5736048bb110b,objTwoColors,#FF00FF,299,300,296,5,0.56,0.04,0.07,0.05,0.01,0.17
573634984323e,objTwoColors,#FF00FF,303,310,247,4,0.59,0,0.05,0.04,0,0.13
573664e1a4a96,objTwoColors,#FF00FF,300,300,152,1,0.55,0.04,0.24,0.05,0.01,0.17
57366c199283c,objTwoColors,#FF00FF,0,300,76,5,0.19,0.17,0.05,0.06,0.17,0.04
5738cf3d97a58,objTwoColors,#FF00FF,236,5,152,4,1.11,0.04,0.12,0.03,0.03,0.05
57410611290e3,objTwoColors,#FF00FF,344,0,370,5,0.6,0.31,0.02,0.13,0.29,0.18
574121b9e952d,objTwoColors,#FF00FF,189,11,222,3,0.97,0.42,0.04,0.11,0.18,0.14
57427cf6bad0c,objTwoColors,#FF00FF,285,0,99,2,0.99,0.11,0.08,0.03,0.13,0.01
574297edae49c,objTwoColors,#FF00FF,12,236,89,4,0.04,0.02,0.11,0.04,0.03,0.05
574511e99b6d9,objTwoColors,#FF00FF,13,188,133,2,0.26,0.42,0.05,0.11,0.19,0.14
57451c3b38192,objTwoColors,#FF00FF,0,300,221,5,0.19,0.17,0.05,0.06,0.17,0.04
5745350dc1e22,objTwoColors,#FF00FF,326,213,81,3,0.26,0.18,0.02,0.1,0.12,0.17
5745500f6e643,objTwoColors,#FF00FF,224,333,80,3,0.96,0.14,0.07,0.09,0.11,0.15
57459c393bbd0,objTwoColors,#FF00FF,228,6,344,4,1.1,0.05,0.1,0.04,0.03,0.05
5745b5cbe3caa,objTwoColors,#FF00FF,5,0,312,3,0.56,0.32,0.04,0.15,0.31,0.2
5745c1c07cc0c,objTwoColors,#FF00FF,322,196,120,4,0.4,0.21,0.04,0.13,0.11,0.16
5745f6f039dc9,objTwoColors,#FF00FF,0,0,0,3,0.55,0.33,0.13,0.15,0.31,0.2
5745f6f039dc9,objTwoColors,#FF00FF,352,0,701,1,0.57,0.32,0.03,0.14,0.31,0.19
