id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5,distance_pair6
571130c5cd6e9,objTwoColors,#0080FF,166,214,128,4,0.38,0.09,0.14,0.11,0.14,0.19,0.6,0.58,0.39,0.6,0.58,0.25
571130d934bda,objTwoColors,#0080FF,227,0,31,5,0.86,0.11,0.18,0.09,0.18,0.16,0.4,0.43,0.53,0.4,0.43,1.05
5711348e42f02,objTwoColors,#0080FF,238,0,59,4,0.88,0.13,0.2,0.09,0.19,0.18,0.4,0.44,0.55,0.4,0.44,1.07
571137a34931a,objTwoColors,#0080FF,233,0,136,2,0.88,0.12,0.19,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
57113b9642c48,objTwoColors,#0080FF,245,0,149,5,0.88,0.14,0.2,0.09,0.19,0.18,0.4,0.44,0.54,0.4,0.44,1.07
57113d4d93c81,objTwoColors,#0080FF,234,0,67,5,0.88,0.12,0.19,0.09,0.19,0.18,0.39,0.43,0.54,0.39,0.43,1.07
57113de4aed1a,objTwoColors,#0080FF,107,46,149,3,0.32,0.4,0.14,0.12,0.2,0.16,0.79,0.76,0.77,0.79,0.76,0.48
57113e6176346,objTwoColors,#0080FF,57,92,393,5,0.54,0.4,0.14,0.12,0.19,0.16,0.73,0.7,0.73,0.73,0.7,0.66
571153ca15566,objTwoColors,#0080FF,233,182,142,3,0.75,0.02,0.14,0.15,0.22,0.26,0.06,0.1,0.16,0.06,0.1,0.8
571154184c9bd,objTwoColors,#0080FF,232,0,8,5,0.87,0.12,0.19,0.09,0.19,0.17,0.39,0.43,0.54,0.39,0.43,1.07
5711641931da5,objTwoColors,#0080FF,241,184,579,2,0.74,0.05,0.14,0.16,0.25,0.27,0.08,0.12,0.16,0.08,0.12,0.78
571165992a5c1,objTwoColors,#0080FF,193,225,132,3,0.57,0.03,0.14,0.17,0.23,0.28,0.5,0.47,0.29,0.5,0.47,0.39
57116b9b879bf,objTwoColors,#0080FF,199,223,105,3,0.6,0.04,0.14,0.17,0.24,0.3,0.45,0.43,0.24,0.45,0.43,0.43
5711703bd85fc,objTwoColors,#0080FF,351,233,260,1,0.63,0.11,0.19,0.09,0.21,0.18,0.85,0.81,0.65,0.85,0.81,0.45
57117fe7495aa,objTwoColors,#0080FF,0,178,386,5,0.62,0.41,0.14,0.05,0.02,0.02,0.59,0.55,0.54,0.59,0.55,0.68
5711800f2c5f3,objTwoColors,#0080FF,157,278,847,1,0.28,0.07,0.14,0.08,0.18,0.16,0.67,0.64,0.47,0.67,0.64,0.19
571183866d73f,objTwoColors,#0080FF,59,88,195,5,0.53,0.4,0.14,0.11,0.18,0.16,0.73,0.7,0.73,0.73,0.7,0.65
57119224388ef,objTwoColors,#0080FF,48,128,122,5,0.6,0.41,0.14,0.12,0.19,0.16,0.74,0.7,0.74,0.74,0.7,0.71
5711ace2ee7ed,objTwoColors,#0080FF,0,188,36,5,0.59,0.09,0.14,0.03,0.04,0.03,0.64,0.6,0.48,0.64,0.6,0.62
