id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2,distance_pair3,distance_pair4,distance_pair5
5713fc80c942a,objTwoColors,#FF8000,14,55,46,5,0.71,0.03,0.14,0.14,0.19,0.15,0.05,0.06,0.04,0.05,0.06
5714d563c6e52,objTwoColors,#FF8000,0,5,373,4,0.73,0.12,0.15,0.23,0.29,0.26,0.27,0.28,0.25,0.27,0.28
57153eb9b4bed,objTwoColors,#FF8000,0,353,67,5,0.72,0.12,0.15,0.24,0.29,0.26,0.27,0.28,0.25,0.27,0.28
5716e9900f6ea,objTwoColors,#FF8000,55,15,73,4,0.46,0.03,0.14,0.14,0.18,0.15,0.5,0.51,0.46,0.5,0.51
57190633f233f,objTwoColors,#FF8000,5,59,132,4,0.75,0.01,0.14,0.14,0.19,0.15,0.01,0.02,0.04,0.03,0.02
5734918f46823,objTwoColors,#FF8000,58,89,151,2,0.54,0.21,0.14,0.12,0.18,0.16,0.38,0.39,0.4,0.4,0.39
5734aa4c927a8,objTwoColors,#FF8000,14,59,132,4,0.72,0.04,0.14,0.13,0.18,0.14,0.03,0.05,0.05,0.06,0.05
5734d89183dab,objTwoColors,#FF8000,53,10,77,4,0.48,0.01,0.14,0.14,0.19,0.15,0.51,0.52,0.47,0.51,0.52
5735d3455a84c,objTwoColors,#FF8000,7,58,49,5,0.74,0.02,0.14,0.14,0.19,0.15,0.02,0.03,0.04,0.03,0.03
5736048bb110b,objTwoColors,#FF8000,28,31,62,5,0.6,0,0.14,0.16,0.21,0.17,0.26,0.27,0.22,0.26,0.27
573634984323e,objTwoColors,#FF8000,17,55,135,4,0.7,0.04,0.14,0.14,0.18,0.14,0.07,0.07,0.06,0.06,0.07
573664e1a4a96,objTwoColors,#FF8000,353,57,96,5,0.74,0.03,0.14,0.14,0.2,0.14,0.02,0.03,0.03,0.03,0.03
57366c199283c,objTwoColors,#FF8000,51,31,52,5,0.47,0.07,0.14,0.14,0.17,0.13,0.39,0.4,0.35,0.39,0.4
5738cf3d97a58,objTwoColors,#FF8000,7,54,45,4,0.73,0,0.14,0.14,0.2,0.15,0.03,0.04,0.02,0.03,0.04
57427cf6bad0c,objTwoColors,#FF8000,4,57,152,5,0.74,0,0.14,0.14,0.2,0.15,0.01,0.02,0.03,0.02,0.02
574297edae49c,objTwoColors,#FF8000,8,59,43,5,0.74,0.02,0.14,0.14,0.19,0.14,0.01,0.03,0.04,0.04,0.03
5744dce84ffa5,objTwoColors,#FF8000,57,11,230,4,0.46,0.03,0.14,0.14,0.19,0.15,0.53,0.53,0.49,0.52,0.53
574511e99b6d9,objTwoColors,#FF8000,13,50,72,4,0.7,0.01,0.14,0.15,0.2,0.15,0.07,0.07,0.03,0.07,0.07
57451c3b38192,objTwoColors,#FF8000,0,31,14,5,0.71,0.08,0.14,0.19,0.26,0.21,0.15,0.16,0.13,0.15,0.16
5745350dc1e22,objTwoColors,#FF8000,3,52,426,5,0.73,0.02,0.14,0.15,0.21,0.16,0.03,0.04,0.02,0.03,0.04
5745500f6e643,objTwoColors,#FF8000,0,44,32,4,0.72,0.05,0.14,0.16,0.23,0.17,0.07,0.08,0.05,0.07,0.08
57459c393bbd0,objTwoColors,#FF8000,10,59,93,4,0.73,0.03,0.14,0.13,0.18,0.14,0.02,0.03,0.04,0.04,0.03
5745b5cbe3caa,objTwoColors,#FF8000,27,52,64,4,0.63,0.06,0.14,0.14,0.17,0.14,0.13,0.14,0.1,0.13,0.14
5745c1c07cc0c,objTwoColors,#FF8000,0,0,0,2,0.74,0.12,0.09,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
5745f6f039dc9,objTwoColors,#FF8000,0,0,0,4,0.74,0.12,0.09,0.24,0.3,0.27,0.28,0.29,0.26,0.27,0.29
574628a9e94a1,objTwoColors,#FF8000,191,161,1209,2,0.62,0.32,0.15,0.1,0.1,0.15,0.62,0.63,0.63,0.64,0.63
