"id","typeOfQuestion","first_color","second_color","third_color","clicks","page_time","rating","resets","id_question"
"5711106ab212a","objTwoColors","#FFFF00","hsl(43.04347826086956,1,0.50)","NONE",29,14,5,0,1
"574511e99b6d9","objTwoColors","#FFFF00","hsl(28.695652173913043,1,0.50)","NONE",49,7,3,0,1
"5710cc5a7829c","objTwoColors","#FFFF00","hsl(58.69565217391305,1,0.50)","NONE",47,8,5,0,1
"5710cf445718e","objTwoColors","#FFFF00","NONE","hsl(52.82608695652174,1,0.50)",47,6,5,0,1
"5711cbde51bb0","objTwoColors","#FFFF00","hsl(49.56521739130435,1,0.50)","hsl(52.82608695652174,1,0.50)",52,6,5,0,1
"571165992a5c1","objTwoColors","#FFFF00","hsl(57.391304347826086,1,0.50)","hsl(50.21739130434783,1,0.50)",452,101,3,0,1
"57113d9cc42b5","objTwoColors","#FFFF00","hsl(50.869565217391305,1,0.50)","NONE",36,4,5,0,1
"5711e54c50f6b","objTwoColors","#FFFF00","hsl(52.17391304347826,1,0.50)","NONE",314,38,4,0,1
"57451c3b38192","objTwoColors","#FFFF00","NONE","hsl(58.69565217391305,1,0.50)",53,10,5,0,1
"5713aa57bebec","objTwoColors","#FFFF00","NONE","hsl(66.84782608695652,1,0.50)",377,30,3,0,1
"5713923c1bbc7","objTwoColors","#FFFF00","hsl(2.608695652173913,1,0.50)","hsl(38.47826086956522,1,0.50)",177,24,5,0,1
"57112d8509632","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(55.43478260869565,1,0.50)",87,11,5,0,1
"5711641931da5","objTwoColors","#FFFF00","hsl(61.95652173913044,1,0.50)","NONE",134,15,5,0,1
"57112edad4a17","objTwoColors","#FFFF00","hsl(29.347826086956523,1,0.50)","NONE",29,7,2,0,1
"5713fc80c942a","objTwoColors","#FFFF00","hsl(58.04347826086956,1,0.50)","hsl(58.69565217391305,1,0.50)",308,23,5,0,1
"57112fc882a10","objTwoColors","#FFFF00","hsl(40.43478260869565,1,0.50)","NONE",307,32,3,0,1
"572106a31c230","objTwoColors","#FFFF00","hsl(27.391304347826086,1,0.50)","hsl(95.21739130434783,1,0.50)",377,26,3,0,1
"5734aa4c927a8","objTwoColors","#FFFF00","hsl(56.08695652173913,1,0.50)","hsl(59.347826086956516,1,0.50)",605,56,1,1,1
"5711148c11035","objTwoColors","#FFFF00","hsl(3.405642302139946,1,0.50)","NONE",512,91,3,0,1
"57110028bc74b","objTwoColors","#FFFF00","NONE","hsl(59.347826086956516,1,0.50)",92,13,3,0,1
