id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,C1_name,C2_name,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab,distance_pair1,distance_pair2
5735d3455a84c,objTwoColors,#FF8000,48,353,95,4,Yellow,Red,0.3,0.17,0.16,0.1,0.13,0.12,0.42,0.39
5736048bb110b,objTwoColors,#FF8000,28,26,60,5,Red,Red,0.27,0.13,0.11,0.12,0.13,0.14,0.5,0.47
573634984323e,objTwoColors,#FF8000,13,56,82,4,Red,Green,0.2,0.08,0.14,0.07,0.08,0.08,0.57,0.54
57366c199283c,objTwoColors,#FF8000,4,54,57,4,Red,Green,0.22,0.12,0.16,0.08,0.11,0.1,0.59,0.55
573678e895606,objTwoColors,#FF8000,59,1,126,5,Green,Red,0.36,0.11,0.19,0.08,0.1,0.08,0.39,0.36
57427cf6bad0c,objTwoColors,#FF8000,45,23,27,2,Yellow,Red,0.22,0.09,0.14,0.08,0.08,0.09,0.41,0.38
574297edae49c,objTwoColors,#FF8000,3,51,36,4,Red,Green,0.23,0.13,0.16,0.09,0.12,0.11,0.59,0.55
574511e99b6d9,objTwoColors,#FF8000,355,58,367,4,Red,Green,0.22,0.13,0.17,0.08,0.1,0.09,0.59,0.56
5745350dc1e22,objTwoColors,#FF8000,10,53,52,5,Red,Green,0.22,0.1,0.15,0.08,0.1,0.09,0.58,0.54
5745500f6e643,objTwoColors,#FF8000,4,55,114,5,Red,Green,0.22,0.12,0.16,0.08,0.1,0.09,0.59,0.55
57459c393bbd0,objTwoColors,#FF8000,55,3,112,4,Green,Red,0.35,0.12,0.18,0.08,0.11,0.09,0.4,0.37
5745b5cbe3caa,objTwoColors,#FF8000,16,65,174,3,Red,Green,0.2,0.05,0.14,0.06,0.05,0.06,0.56,0.53
5745c1c07cc0c,objTwoColors,#FF8000,4,46,33,4,Red,Yellow,0.25,0.14,0.16,0.1,0.13,0.12,0.58,0.55
