id,typeOfQuestion,first_color,second_color,third_color,clicks,rating,distance_expectedC1C2,distance_HSV,distance_LCh,distance_CMYK,distance_RGB,distance_Lab
57138ac176750,objTwoColors,#0000FF,191,251,286,2,0.34,0.03,0.34,0.07,0.08,0.17
5713923c1bbc7,objTwoColors,#0000FF,62,116,519,3,0.65,0.54,0.26,0.21,0.38,0.29
5713b10383207,objTwoColors,#0000FF,115,59,548,4,0.58,0.53,0.26,0.22,0.38,0.28
5713d766113e9,objTwoColors,#0000FF,52,102,474,5,0.65,0.52,0.26,0.23,0.38,0.28
5713fc80c942a,objTwoColors,#0000FF,231,238,137,5,0.54,0,0.51,0.11,0.15,0.26
571534076a966,objTwoColors,#0000FF,51,118,493,3,0.66,0.53,0.26,0.23,0.38,0.28
57153d9a56ce0,objTwoColors,#0000FF,0,205,67,5,0.56,0.1,0.31,0.13,0.11,0.1
57153eb9b4bed,objTwoColors,#0000FF,0,277,75,5,0.54,0.3,0.38,0.17,0.22,0.16
5715f69931d4c,objTwoColors,#0000FF,227,0,219,5,0.63,0.16,0.4,0.13,0.09,0.12
5716e9900f6ea,objTwoColors,#0000FF,184,317,164,3,0.13,0,0.25,0.05,0.01,0.02
57190633f233f,objTwoColors,#0000FF,179,286,423,3,0.15,0,0.29,0.02,0.02,0.08
5734779e28d4b,objTwoColors,#0000FF,239,232,102,4,0.55,0.01,0.51,0.11,0.16,0.26
5734918f46823,objTwoColors,#0000FF,0,238,89,4,0.62,0.18,0.42,0.13,0.1,0.13
5734aa4c927a8,objTwoColors,#0000FF,209,239,171,3,0.45,0.02,0.4,0.09,0.12,0.22
5734d89183dab,objTwoColors,#0000FF,256,250,167,4,0.54,0,0.51,0.11,0.15,0.25
5735d3455a84c,objTwoColors,#0000FF,254,245,596,5,0.54,0,0.52,0.11,0.16,0.26
5736048bb110b,objTwoColors,#0000FF,239,224,108,5,0.53,0,0.48,0.11,0.15,0.25
573613f4689a3,objTwoColors,#0000FF,235,228,171,3,0.54,0,0.49,0.11,0.15,0.26
573634984323e,objTwoColors,#0000FF,230,240,187,5,0.54,0.01,0.51,0.11,0.15,0.26
57363b3954a26,objTwoColors,#0000FF,233,0,39,5,0.65,0.17,0.42,0.13,0.1,0.13
573664e1a4a96,objTwoColors,#0000FF,175,265,92,2,0.21,0.04,0.31,0.04,0.04,0.11
57366c199283c,objTwoColors,#0000FF,3,315,104,5,0.44,0.46,0.33,0.24,0.31,0.23
5738cf3d97a58,objTwoColors,#0000FF,236,233,163,4,0.55,0,0.5,0.11,0.16,0.26
57427cf6bad0c,objTwoColors,#0000FF,222,230,111,3,0.51,0.02,0.45,0.1,0.13,0.24
574297edae49c,objTwoColors,#0000FF,252,241,240,5,0.55,0.01,0.52,0.11,0.16,0.26
5744dce84ffa5,objTwoColors,#0000FF,228,227,235,2,0.53,0.01,0.47,0.1,0.14,0.25
574511e99b6d9,objTwoColors,#0000FF,283,10,244,2,0.57,0.36,0.37,0.17,0.24,0.16
57451c3b38192,objTwoColors,#0000FF,0,236,58,4,0.62,0.18,0.42,0.13,0.1,0.13
5745350dc1e22,objTwoColors,#0000FF,228,222,110,5,0.52,0.02,0.45,0.1,0.13,0.24
5745500f6e643,objTwoColors,#0000FF,254,0,199,3,0.64,0.22,0.42,0.14,0.14,0.14
57459c393bbd0,objTwoColors,#0000FF,226,239,123,4,0.53,0,0.49,0.11,0.15,0.25
5745b5cbe3caa,objTwoColors,#0000FF,222,223,225,3,0.5,0.03,0.42,0.09,0.12,0.23
5745c1c07cc0c,objTwoColors,#0000FF,226,225,582,5,0.52,0.02,0.45,0.1,0.13,0.24
5745f6f039dc9,objTwoColors,#0000FF,140,54,387,4,0.52,0.54,0.25,0.21,0.36,0.26
574628a9e94a1,objTwoColors,#0000FF,300,274,196,5,0.38,0.12,0.4,0.06,0.08,0.15
